# mstar_init log_lifetime
2.500000000000000000e+00 8.668488382225596922e+00
2.520000000000000018e+00 8.659016100735312804e+00
2.540000000000000036e+00 8.649996322279458028e+00
2.560000000000000053e+00 8.641792975209753536e+00
2.580000000000000071e+00 8.635363797447960010e+00
2.600000000000000089e+00 8.627787236248803282e+00
2.620000000000000107e+00 8.618654685251167180e+00
2.640000000000000124e+00 8.614959963461634729e+00
2.660000000000000142e+00 8.600260177612367940e+00
2.680000000000000160e+00 8.594276516737810567e+00
2.700000000000000178e+00 8.584971273009408321e+00
2.720000000000000195e+00 8.579687996537382233e+00
2.740000000000000213e+00 8.571014700306697875e+00
2.759999999999999787e+00 8.562286616502516878e+00
2.779999999999999805e+00 8.558494631559783627e+00
2.799999999999999822e+00 8.548141029802573954e+00
3.000000000000000000e+00 8.476377945981628415e+00
3.200000000000000178e+00 8.412150399658569810e+00
3.399999999999999911e+00 8.358319625178287637e+00
3.600000000000000089e+00 8.303383988284679162e+00
3.799999999999999822e+00 8.247490073047755388e+00
4.000000000000000000e+00 8.199836003080662294e+00
4.200000000000000178e+00 8.156759115812951322e+00
4.400000000000000355e+00 8.112790143648194174e+00
4.599999999999999645e+00 8.076693663507031218e+00
4.799999999999999822e+00 8.037322811233686082e+00
5.000000000000000000e+00 7.996866545644923718e+00
5.200000000000000178e+00 7.964985979319774145e+00
5.400000000000000355e+00 7.932481295957354739e+00
5.599999999999999645e+00 7.902346776247817672e+00
5.799999999999999822e+00 7.862552222861099338e+00
6.000000000000000000e+00 7.839742316762172258e+00
6.200000000000000178e+00 7.816229243454159814e+00
6.400000000000000355e+00 7.791369917430151837e+00
6.599999999999999645e+00 7.765000765105034120e+00
6.799999999999999822e+00 7.736926461586461024e+00
7.000000000000000000e+00 7.706911141015534206e+00
7.200000000000000178e+00 7.686189439437381310e+00
7.400000000000000355e+00 7.669054792902395334e+00
7.599999999999999645e+00 7.646695189070439547e+00
7.799999999999999822e+00 7.622339608912914954e+00
8.000000000000000000e+00 7.605870828821005070e+00
